vsl_id,vsl_name,vsl_mmsi,vsl_imo,call_sign,ship_type,vsl_length,vsl_width
7517912f-e736-3a36-ad4b-7e69453cd5ac,HUI FA,352978152,9714939,3E2388,CONTAINER,180,32
df24620f-6e9f-3314-a070-ae4cc6cdc2e9,SURABAYA VOYAGER,636021256,9137703,5LDA9,CONTAINER,188,30
9438e3b1-cae6-390c-a034-792b81fcf867,HAMAYUU,431446000,9184562,JM6512,ROLL_ON_ROLL_OFF,162,24
fcfe3f62-3236-3c64-a8ed-8e52eafe3a1d,SEONG HEE,441163000,9241700,DSFS8,VEHICLE_PASSENGER,152,25
2eef4e6a-000a-31f5-a67d-fd93fb534525,BF CARP,209539000,9437256,5BFN4,CONTAINER,139,23
8739b572-fd0d-3afe-8f6d-8605a6ced764,SKY VICTORIA,440280000,9385245,D8DJ,CONTAINER,145,23
89011ee4-365a-38e4-9bbf-06ac749f853b,HECAN,441387000,9383546,D7WG,CONTAINER,145,22
d86ce8ec-a91a-3c09-9d78-35877ca3d4a9,SM TOKYO,440059000,9374129,D7DO,CONTAINER,148,23
e3783db0-cfad-30d3-aa79-7841872350ad,PEGASUS PETA,440221000,9707522,D7ER,CONTAINER,146,23
1caf3e76-3cd9-3011-a45c-da6406aea86c,DONGJIN FORTUNE,441236000,9251145,D7UJ,CONTAINER,130,20
4d3f1384-486b-3514-a34c-fb4d043741f7,TC MESSENGER,352003099,9342798,3E5979,CONTAINER,145,22
5c4836cd-5a13-3c25-97e5-6d1ce66f895c,OCEAN PEACE,548007900,9214927,DUA3887,CONTAINER,136,23
65d14339-8331-3f9a-920c-dd31bb2caacb,SPAN ASIA 70,548050900,9344186,DUA3899,CONTAINER,115,19
01902fc3-1eba-3df5-8c05-ce3d7767a9b1,CONSIGNIA,538009630,9907380,V7A4976,CONTAINER,143,23
15009d94-6d42-3e87-a4ce-358f9d618477,PANJA BHUM,565697000,9338321,9VJQ2,CONTAINER,149,23
2489ddfe-830f-3c0f-b6de-54386d68251b,KHARIS HERITAGE,440190000,9402512,D8BG,CONTAINER,147,25
45c1d009-65fb-32f0-8aac-9ab2a1732867,POS BANGKOK,371369000,9859648,3FDX9,CONTAINER,172,27
608e9870-3104-3b32-a6c2-b80f6c510421,DONG FANG XIAMEN,477957600,9281346,VRWC7,CONTAINER,133,20
6802597d-989d-306d-8362-d564770c0d71,NEW GUINEA CHIEF,477477400,9689952,VROO8,CONTAINER,176,28
7f97bff0-1c3d-3d7d-a368-a8e33ffda805,DONGJIN GENIUS,440344000,9196474,D7PC,GENERAL_CARGO,92,17
9a6fc43a-8fd5-3e5c-89e1-20dbeb3f8229,HEUNG-A YOUNG,440965000,9695298,D7GH,CONTAINER,141,22
b92a3b5b-90e2-35e8-aec4-a73bd6c554a1,PAPUAN CHIEF,477477700,9689964,VROO7,CONTAINER,176,28
c83e3a24-4f8b-3880-9fb6-40e57107abdb,DONGJIN NAGOYA,441717000,9167708,DSQV7,GENERAL_CARGO,92,16
1d0185ec-25cf-3720-b573-10bfea32a9b8,TS SYDNEY,538009373,9477385,V7A4654,CONTAINER,256,37
259b8e4c-8ef9-319b-9478-f8c5668822e5,MARTI STAR II,636024772,9383596,5LUF2,CONTAINER,143,23
383c7491-2cde-301d-b6b8-4a21d0967330,RACINE,248431000,9406647,9HA2362,CONTAINER,300,40
3fefbd6c-5a91-3fd6-99a4-6a9bbe6e8791,XIUMEI SHANGHAI,441883000,9138264,DSRJ5,CONTAINER,168,27
4e27bc10-d1ec-356b-8d56-9050c7fa3cb4,XIN TIAN JIN,413053000,9234343,BPAQ,CONTAINER,280,40
56b7c814-42d4-3ead-ae72-5615100eba37,SITC TIANJIN,355898000,9330575,3EGN,CONTAINER,145,22
67225a94-e5d2-3d3e-b44e-826b2a1f86df,XIN DA LIAN,413050000,9234331,BPAO,CONTAINER,280,41
8e46ac6f-5d5e-3f96-842d-785e8c172878,SINOKOR HONGKONG,441777000,9146663,DSRA4,CONTAINER,162,26
9ccb2678-bbe7-365d-81fe-a247f37c5a7f,MSC ADU V,255915962,9293466,CQ2420,CONTAINER,294,32
9e5ff808-986c-3318-8b72-a76463fa1726,KMTC MUMBAI,441225000,9665695,D7UF,CONTAINER,255,37
b8de27c4-7392-36ce-a419-67371d4340b3,PANDA 009,255805778,9294812,CQDB,CONTAINER,277,40
c3662709-01de-3365-9de3-478fc8884654,OCEAN DRAGON,373672000,9508770,3EXR,GENERAL_CARGO,99,18
99db3885-56bf-30ef-a349-4ffc3cb828ad,OPUS ONE,352002597,9385441,3E2368,CONTAINER,132,19
05552602-5a62-35ab-87ed-d557fe7f8450,SAWASDEE SINGAPORE,441885000,9081021,DSRJ7,CONTAINER,167,28
0643f8e3-dd39-3424-bd94-5b4b9e37b301,HEUNG-A AKITA,538005898,9693953,V7HY7,CONTAINER,141,25
0d67e314-3d75-3de9-9440-47e265f3421f,KMTC OSAKA,372604000,9848883,3EHZ9,CONTAINER,172,27
0fcd591e-1cec-34a1-93a3-7f31e4079ae7,EMORA,356298000,9362700,3EMT9,CONTAINER,180,26
1a0ae5fb-9876-3f87-8dcb-0a970cbb4dd5,KMTC LAEM CHABANG,636017768,9772230,D5MP9,CONTAINER,172,27
7299c98d-c23a-3aaa-8812-62795b413425,RUN SHENG,355674000,9179464,H9YK,CONTAINER,137,22
8621886c-e51a-3550-8534-cff9a139d5b3,SKY SUNSHINE,636019057,9854492,D5ST2,CONTAINER,172,27
8b1a001c-7f92-3a3e-9fc3-8ae1ca18ceb9,KMTC TOKYO,352374000,9848871,H8SF,CONTAINER,172,27
cfab9c09-5e8d-3fbe-9a5d-be67147925e7,STARSHIP URSA,538004894,9650078,V7ZR2,CONTAINER,172,28
2bc4daea-325a-37dd-948d-58350409eb0e,DONGJIN VENUS,441805000,9615339,DSRE9,CONTAINER,143,23
4e95f409-b5de-3bc9-ad36-66078710f0b3,OCEAN BREEZE I,351702000,9224350,HPYS,CONTAINER,128,20
7489e60a-7a4c-35fc-b57a-9c07f76fa1d2,SUNNY CLOVER,374431000,9748394,H3SY,CONTAINER,137,25
acd249cf-6e51-3fe2-9cef-ac513024c5c7,SKY JADE,538005519,9691761,V7ER5,CONTAINER,145,22
af2ff49a-4e82-3b27-af7d-b8ad38ffcd51,STAR VOYAGER,440366000,9754795,D7FU,CONTAINER,141,25
e017c381-1a9b-31bf-a4f6-9c0d78701f71,TY INCHEON,441127000,9281358,D8TI,CONTAINER,133,21
1799de8c-c799-3c7c-8a15-af8823360697,SINOKOR VLADIVOSTOK,440364000,9179452,D7DX,CONTAINER,135,23
677be455-d574-311a-8a85-3607ce0cfae0,STAR SKIPPER,538007548,9448839,V7UJ2,CONTAINER,142,22
c7ccd672-b7ee-3935-9e60-6dc258d52932,SINOKOR AKITA,440358000,9179440,D7DY,CONTAINER,135,23
00f4e943-49e7-3ee0-80eb-c6a9809a26f5,SINOKOR QINGDAO,441968384,9160906,D8BE,CONTAINER,136,22
0a11f002-6862-3d75-80fc-3c53b8ce0a9b,CHANG RONG 8,352001660,8591615,3E2687,OTHER,144,21
280fb28d-bc6a-396d-a859-25fb00ca3597,PANDA VICTORIA,352004256,9159878,3E7741,CONTAINER,183,28
310e73f4-960c-3989-8ff0-c6ecf187f812,HENG HUI,352001490,8356405,3E2506,GENERAL_CARGO,126,18
34ad912b-4b3b-3781-be31-c00a4a336645,A GALAXY,351663000,9163441,3FUH7,CONTAINER,193,28
4b3458a8-caa2-38bd-a66e-58e2347c4579,XIANG REN,351135000,9161821,3EBO,GENERAL_CARGO,122,20
6a8686e3-20a9-3b84-b0a9-a5a2f403629d,SASCO ANGARA,273390170,9242986,UBUO6,CONTAINER,132,19
6bd4b6c9-41e8-3bde-82d9-1c7f36c0cd3b,TRANSIT LUGOVAYA,273611350,9319583,UBGY2,CONTAINER,132,18
91091aae-79a9-31fe-91a5-b1e274bc7fd0,XIN YONG CHANG 9,352002225,8535453,SSD,GENERAL_CARGO,140,21
9570c33b-2686-33e8-9247-ca7bf7104b72,YONG YUE 11,352002215,8741026,3E3490,CONTAINER,133,19
ae4a433a-64b5-3125-b713-4e8e792cef3f,TRANSIT  SHAMORA,273612530,9430052,UBWX9,CONTAINER,133,19
b40a3694-8da2-381a-88cd-6a148732cd11,LUCKY DRAGON,636015121,9117181,A8YS5,CONTAINER,328,45
d7474346-485a-35fa-a7be-ec531e8a84ef,YANGTZE TRADER,413564860,9915997,BPIT5,CONTAINER,148,23
e06bf3d7-258c-3400-9299-f0c86763b087,HEUNG-A XIAMEN,538005897,9693941,V7HY4,CONTAINER,141,25
f643855a-6409-3bea-aaf0-64b66def60ad,HE YUAN 1,352978125,9187485,3E3956,CONTAINER,136,23
08940852-62ec-39d1-ba08-c67c15a78fe8,GSL MAREN,636020595,9504592,D5ZX8,CONTAINER,209,30
11645231-2e2b-38ff-8cdf-a9ce1fa3f6d8,SITC SENDAI,477233800,9801548,VRSC3,CONTAINER,141,25
22fcef7b-faa4-3695-8d7d-383dfd1bfa86,PANSTAR GENIE NO.2,441246000,9251016,D8RV,ROLL_ON_ROLL_OFF,161,24
2cad4085-5723-3a67-85bc-027faaa93c71,SINOTRANS QINGDAO,477767500,9631632,VRMG8,CONTAINER,148,23
2eb7b8c2-68d3-3d44-a700-3138a1773c58,SITC YANTAI,477203700,9639622,VRLI5,CONTAINER,143,23
31c82883-74a2-3ead-ac91-855fd625793e,ETOILE,229263000,9301469,9HA3184,CONTAINER,210,30
5b7585d5-b2e1-3f87-bf8c-c66da25f5be0,FRIDA RUSS,255915657,9701279,CQ2115,CONTAINER,185,30
87a2ac61-40f6-3dc3-8e57-20578be1b030,SITC SHIMIZU,477335600,9639658,VRLG2,CONTAINER,143,23
8aa28fdb-767e-3144-b262-760f8a9d0cbf,HONOR VOYAGER,352002269,9158757,3E3843,CONTAINER,122,22
9c144049-6262-3c78-8506-a6c348b9fb38,SITC TAICANG,477302300,9836115,VRSC5,CONTAINER,141,25
babc9cc5-cb9d-3c7d-971a-f3cef9fb1bd3,SITC SHENZHEN,477024900,9639646,VRKS7,CONTAINER,143,23
ec24c4a3-534e-3d30-9422-728631faa4c4,SITC TOYOHASHI,477209100,9834014,VRSB9,CONTAINER,141,25
fb98191d-6872-3c06-95b5-7d42c060c1b0,SITC SUBIC,477269800,9801550,VRSC4,CONTAINER,141,25
710479db-cd0d-3913-a31a-7302bae90352,SITC MACAO,477849500,9712785,VROF9,CONTAINER,172,28
94887ff0-85cf-380a-a2dd-be03e3669d03,SITC QINGDAO,477190600,9610547,VRLI4,CONTAINER,144,23
99f4a5e0-f16e-36c5-a162-e49b4a611791,SM JAKARTA,440206000,9219240,D7DP,CONTAINER,168,27
9ee9176a-704f-3855-8afe-9705d5b6095f,HONSIN,352004866,9252369,3E7096,CONTAINER,226,32
b724b1df-b944-331d-a870-7203026fd9d9,WILMOT,355027000,9124689,3EPG2,CONTAINER,114,20
b7910b7e-4eda-3d12-9917-93964cd939b5,SITC HONGKONG,372765000,9331115,3EKM7,CONTAINER,145,22
c0b671ff-6cee-3de2-9ee6-d1b7095182e0,SITC KWANGYANG,477274900,9610535,VRJQ9,CONTAINER,140,22
c9333614-0190-3259-86f0-593dced42776,HF WEALTH,477615200,9356799,VRTL4,CONTAINER,143,23
e61b8899-30e7-347b-8b61-2eb7ee02cac1,SITC SHANDONG,477466300,9691113,VRNQ7,CONTAINER,172,28
eb5031ef-d007-3938-8797-30bdfcee0a90,AYA 1,353346000,9293557,H3PB,CONTAINER,145,20
f0e846ab-2681-3027-8dde-ab664e0292aa,STARSHIP PEGASUS,538004895,9656759,V7ZR3,CONTAINER,172,28
f54ee3cf-7374-3b02-b2db-5431fde0d05b,INGENUITY,538007711,9790892,V7MG8,CONTAINER,172,27
ffa1afcd-c0a7-3984-bed4-8a76885eb113,INVICTA,538008635,9822724,V7A2600,CONTAINER,172,28
37b4ec54-3ea5-3ede-85e3-ba420e3fbc5d,KMTC SURABAYA,354467000,9821081,3ELX9,CONTAINER,200,35
6bc84c31-d6ca-335f-96a0-14dc791624ae,PANCON HARMONY,441271000,9884904,D7UY,CONTAINER,141,24
0f279ff1-9251-3d4f-a6de-8cfab3213aeb,SSL THAMIRABARANI,419001814,9312468,VTUQ,CONTAINER,142,22
117e81a8-6971-317f-8c37-94216b9b0abd,KMTC INCHEON,373220000,9859911,3FHB3,CONTAINER,172,27
1f281f53-56dd-344e-99c2-4fc230af5017,ERASMUS LEO,538004893,9650066,V7ZQ9,CONTAINER,172,28
214c04c6-3fed-380b-a40b-621f1cece466,KMTC SINGAPORE,440493000,9217412,DSOA9,CONTAINER,172,27
571cfc3a-397a-38d8-8d6b-5e94a3e8c10e,KMTC JAKARTA,440491000,9217424,DSOA8,CONTAINER,170,27
59b78c36-ce29-3266-813a-85976eeee38d,SAWASDEE SUNRISE,440251000,9886079,D7HY,CONTAINER,172,27
62a14d88-6fb0-367f-a92c-be0e41606db1,MSC MANASVI II,636024490,9347724,5LSV9,CONTAINER,170,25
670851a5-e09e-3482-bd7c-20de93fcdc6d,AS PATRIA,255806095,9294525,CQIX5,CONTAINER,210,30
7a9393a1-4b0f-3953-9769-d0698f67316a,KMTC ULSAN,441788000,9131864,DSRD9,CONTAINER,167,27
ab4c4d1c-b14c-3f27-9d94-8f87565635ee,DONGJIN VOYAGER,440716000,9802011,D7SB,CONTAINER,172,28
b368d399-5b5f-3a92-8697-5e3dd3deb354,ORIENTAL BRIGHT,352830000,9412804,3EME9,CONTAINER,162,26
cca0642a-b45e-3c4f-bd90-5f919d0be20b,KMTC PENANG,373595000,9821093,3ECW9,CONTAINER,200,35
d25052b8-b234-3803-b41e-366cea6b08b9,SUNNY LAVENDER,372570000,9748411,3FHO8,CONTAINER,137,25
0dfd9ffa-d1a4-3482-931f-bb1e7810c47e,HEUNG-A JANICE,440510000,9693927,D7LP,CONTAINER,141,25
42b953f1-361d-36ea-bfc9-6054e449aa54,HEUNG-A SARAH,440385000,9698379,D7KO,CONTAINER,141,23
5fca396d-9b09-3653-b1a0-e70b9a7f4c6a,OSAKA VOYAGER,440273000,9329576,D7AA,CONTAINER,129,20
8dc2c7fb-e266-38e7-82a4-f51d5884f375,HYUNDAI FORWARD,538007482,9330707,V7PX2,CONTAINER,294,32
8ee2e570-e7a6-3460-8520-2b2332b9ec1b,PACIFIC SINGAPORE,563147400,9433937,9V7740,CONTAINER,129,20
