port_id,pso_lat,pso_lon
CNHUA,26.29665695,121.0827936
CNHUA,26.12489338,120.9507599
CNHUA,25.950507,120.822058
CNHUA,25.77410131,120.6953398
CNHUA,25.59635485,120.5692019
CNHUA,25.42002944,120.4407183
CNHUA,25.25019362,120.3052768
CNHUA,25.09203559,120.1581778
CNHUA,24.94879999,119.9965399
CNHUA,24.81595584,119.8247555
CNHUA,24.6870279,119.6490359
CNHUA,24.55575502,119.4753913
CNHUA,24.42025624,119.3057119
CNHUA,24.2827484,119.1380337
CNHUA,24.14560576,118.9702447
CNHUA,24.01038022,118.8008976
CNHUA,23.87574545,118.6308719
CNHUA,23.73974587,118.4615553
CNHUA,23.60067069,118.2941743
CNHUA,23.46094006,118.127225
CNHUA,23.32641146,117.9569323
CNHUA,23.2030451,117.779453
CNHUA,23.09408728,117.5926693
CNHUA,22.9946859,117.3996117
CNHUA,22.89848491,117.2042666
CNHUA,22.79958553,117.0103615
CNHUA,22.69845222,116.8180182
CNHUA,22.6002142,116.6247156
CNHUA,22.51010419,116.4278735
CNHUA,22.43138395,116.2259357
CNHUA,22.36211484,116.0200474
CNHUA,22.29951054,115.8117942
CNHUA,22.24106694,115.6026319
CNHUA,22.1875503,115.392514
CNHUA,22.14183192,115.180427
CNHUA,22.10682313,114.9653463
CNHUA,22.08658858,114.7473555
CNHUA,22.08779629,114.5290399
CNHUA,22.1174712,114.3133278
CNHUA,22.18213452,114.1037017
CNHUA,22.28347007,113.9089664
CNHUA,22.4204649,113.7408934
CNHUA,22.59207683,113.6112866
CNHUA,22.7972637,113.5319498
CNHUA,23.03498333,113.5146867
CNLYG,35.04988833,129.1226633
CNLYG,34.95385333,129.0809487
CNLYG,34.86756739,129.0264618
CNLYG,34.79029908,128.9610762
CNLYG,34.721317,128.8866655
CNLYG,34.65988973,128.8051033
CNLYG,34.60528585,128.718263
CNLYG,34.55678128,128.62799
CNLYG,34.51384343,128.5353947
CNLYG,34.47614481,128.4408
CNLYG,34.44336792,128.3444905
CNLYG,34.41483885,128.246823
CNLYG,34.38869569,128.1483969
CNLYG,34.36282924,128.0498615
CNLYG,34.33524273,127.9518326
CNLYG,34.30548347,127.8544588
CNLYG,34.27422055,127.7575502
CNLYG,34.24214825,127.6609089
CNLYG,34.20995427,127.5643255
CNLYG,34.17831093,127.4675636
CNLYG,34.14788844,127.3703832
